Approved symbol	Status	Previous symbols	Alias symbols	RefSeq IDs	Ensembl ID(supplied by Ensembl)
A1BG	Approved			NM_130786	ENSG00000121410
A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	NR_015380	ENSG00000268895
A1CF	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	NM_014576	ENSG00000148584
A1S9T	Symbol Withdrawn				
A2M	Approved		FWP007, S863-7, CPAMD5	NM_000014	ENSG00000175899
A2M-AS1	Approved			NR_026971	ENSG00000245105
A2ML1	Approved	CPAMD9	FLJ25179, p170	NM_144670	ENSG00000166535
A2ML1-AS1	Approved				ENSG00000256661
A2ML1-AS2	Approved				ENSG00000256904
A2MP1	Approved	A2MP		NG_001067	ENSG00000256069
A2MR	Symbol Withdrawn				
A2MRAP	Symbol Withdrawn				
A3GALT2	Approved	A3GALT2P	IGBS3S, IGB3S	NM_001080438	ENSG00000184389
A4GALT	Approved	P1	A14GALT, Gb3S, P(k)	NM_017436	ENSG00000128274
A4GNT	Approved		alpha4GnT	NM_016161	ENSG00000118017
A12M1	Entry Withdrawn				
A12M2	Entry Withdrawn				
A12M3	Entry Withdrawn				
A12M4	Entry Withdrawn				
AA	Symbol Withdrawn	AA			
AAAS	Approved				ENSG00000094914
AABT	Entry Withdrawn				
AAC1	Symbol Withdrawn				
AAC2	Symbol Withdrawn				
AACS	Approved		FLJ12389, SUR-5, ACSF1	NM_023928	ENSG00000081760
AACSP1	Approved	AACSL		NR_024035	ENSG00000250420
AACT	Symbol Withdrawn				
AADAC	Approved		DAC, CES5A1	NM_001086	ENSG00000114771
AADACL2	Approved		MGC72001	NM_207365	ENSG00000197953
AADACL2-AS1	Approved				ENSG00000242908
AADACL3	Approved		OTTHUMG00000001887	NM_001103170	ENSG00000188984
AADACL4	Approved		OTTHUMG00000001889	NM_001013630	ENSG00000204518
AADACP1	Approved				ENSG00000240602
AADAT	Approved		KATII, KAT2, KYAT2	NM_016228	ENSG00000109576
AAGAB	Approved		FLJ11506, p34	NM_024666	ENSG00000103591
AAK1	Approved		KIAA1048, DKFZp686K16132	NM_014911	ENSG00000115977
AAMDC	Approved	C11orf67	PTD015, FLJ21035, CK067	NM_024684	ENSG00000087884
AAMP	Approved			NM_001087	ENSG00000127837
AANAT	Approved		SNAT	NM_001088	ENSG00000129673
AAR2	Approved	C20orf4	bA234K24.2	NM_015511	ENSG00000131043
AARD	Approved	C8orf85	LOC441376	NM_001025357	ENSG00000205002
AARS1	Approved	AARS	CMT2N, AlaRS	NM_001605	ENSG00000090861
AARS1P1	Approved	AARSP1			ENSG00000249038
AARS2	Approved	AARSL	KIAA1270, bA444E17.1	NM_020745	ENSG00000124608
AARSD1	Approved		MGC2744, AlaXp	NM_001261434	ENSG00000266967
AARSD1P1	Approved				ENSG00000234969
AASDH	Approved		NRPS998, LYS2, ACSF4	NM_181806	ENSG00000157426
AASDHPPT	Approved		LYS5, CGI-80, AASD-PPT, ACPS	NM_015423	ENSG00000149313
AASS	Approved		LORSDH, LKRSDH	NM_005763	ENSG00000008311
AATBC	Approved			NR_026961	ENSG00000215458
AATF	Approved		DED, CHE-1, CHE1, BFR2	NM_012138	ENSG00000275700
AATK	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	NM_004920	ENSG00000181409
AAVS1	Approved		AAV		
ABALON	Approved		INXS	NR_131907	ENSG00000281376
ABAT	Approved		GABAT, GABA-T	NM_020686	ENSG00000183044
ABC1	Symbol Withdrawn				
ABC2	Symbol Withdrawn				
ABC3	Symbol Withdrawn				
ABC7	Symbol Withdrawn				
ABC50	Symbol Withdrawn				
ABCA1	Approved	ABC1, HDLDT1	TGD	NM_005502	ENSG00000165029
ABCA2	Approved	ABC2		NM_001606	ENSG00000107331
ABCA3	Approved	ABC3	ABC-C, EST111653, LBM180	NM_001089	ENSG00000167972
ABCA3P1	Approved			NG_022511	
ABCA4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	NM_000350	ENSG00000198691
ABCA5	Approved		EST90625	NM_018672	ENSG00000154265
ABCA6	Approved		EST155051	NM_080284	ENSG00000154262
ABCA7	Approved		ABCX	NM_019112	ENSG00000064687
ABCA8	Approved		KIAA0822	NM_007168	ENSG00000141338
ABCA9	Approved		EST640918	NM_172386	ENSG00000154258
ABCA9-AS1	Approved				ENSG00000231749
ABCA10	Approved		EST698739	NM_080282	ENSG00000154263
ABCA11P	Approved	ABCA11	EST1133530, FLJ14297	NR_002451.2	ENSG00000251595
ABCA12	Approved	ICR2B	DKFZP434G232, LI2	NM_173076	ENSG00000144452
ABCA13	Approved		FLJ33876, FLJ33951	NM_152701	ENSG00000179869
ABCA17P	Approved			NR_003574	ENSG00000238098
ABCB1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170	NM_000927	ENSG00000085563
ABCB2	Symbol Withdrawn				
ABCB3	Symbol Withdrawn				
ABCB4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	NM_000443	ENSG00000005471
ABCB5	Approved		EST422562, ABCB5beta, ABCB5alpha	NM_178559	ENSG00000004846
ABCB6	Approved		EST45597, umat, MTABC3	NM_005689	ENSG00000115657
ABCB7	Approved	ABC7	EST140535, Atm1p, ASAT	NM_004299	ENSG00000131269
ABCB8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	NM_007188	ENSG00000197150
ABCB9	Approved		EST122234	NM_019624	ENSG00000150967
ABCB10	Approved		EST20237, M-ABC2, MTABC2	NM_012089	ENSG00000135776
ABCB10P1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	NG_005041	ENSG00000274099
ABCB10P2	Symbol Withdrawn				
ABCB10P3	Approved			NG_022122	ENSG00000261524
ABCB10P4	Approved			NG_022102	ENSG00000260053
ABCB11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	NM_003742	ENSG00000073734
ABCC1	Approved	MRP, MRP1	GS-X	NM_004996	ENSG00000103222
ABCC2	Approved	CMOAT	DJS, MRP2, cMRP	NM_000392	ENSG00000023839
ABCC3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	NM_020038	ENSG00000108846
ABCC4	Approved		MRP4, EST170205, MOAT-B, MOATB	NM_005845	ENSG00000125257
ABCC5	Approved		MRP5, SMRP, EST277145, MOAT-C	NM_005688	ENSG00000114770
ABCC5-AS1	Approved				ENSG00000223882
ABCC6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7		ENSG00000091262
ABCC6P1	Approved			NR_003569	ENSG00000256340
ABCC6P2	Approved			NR_023387	ENSG00000255277
ABCC7	Symbol Withdrawn				
ABCC8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	NM_000352	ENSG00000006071
ABCC9	Approved		SUR2, CMD1O	NM_005691	ENSG00000069431
ABCC10	Approved		EST182763, MRP7, SIMRP7	NM_033450	ENSG00000124574
ABCC11	Approved		MRP8	NM_032583	ENSG00000121270
ABCC12	Approved		MRP9	NM_033226	ENSG00000140798
ABCC13	Approved		PRED6, C21orf73, ABCC13P		ENSG00000243064
ABCD1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	NM_000033	ENSG00000101986
ABCD1P1	Approved				
ABCD1P2	Approved		bA453N3.6		ENSG00000215151
ABCD1P3	Approved				ENSG00000261233
ABCD1P4	Approved				ENSG00000225293
ABCD1P5	Approved				ENSG00000214330
ABCD2	Approved	ALDL1	ALDR, ALDRP	NM_005164	ENSG00000173208
ABCD3	Approved	PXMP1	PMP70, ZWS2	NM_002858	ENSG00000117528
ABCD4	Approved	PXMP1L	PMP69, P70R, EST352188	NM_005050	ENSG00000119688
ABCE1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	NM_002940	ENSG00000164163
ABCF1	Approved	ABC50	EST123147		ENSG00000204574
ABCF1-DT	Approved				
ABCF2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	NM_005692	ENSG00000033050
ABCF2-H2BK1	Approved	ABCF2-H2BE1			ENSG00000285292
ABCF2P1	Approved				ENSG00000242159
ABCF2P2	Approved				ENSG00000228769
ABCF3	Approved		EST201864	NM_018358	ENSG00000161204
ABCG1	Approved		ABC8	NM_207174	ENSG00000160179
ABCG2	Approved		EST157481, MXR, BCRP, ABCP, CD338	NM_004827	ENSG00000118777
ABCG4	Approved		WHITE2	NM_022169	ENSG00000172350
ABCG5	Approved		STSL	NM_022436	ENSG00000138075
ABCG8	Approved		GBD4	NM_022437	ENSG00000143921
ABCR	Symbol Withdrawn				
ABHD1	Approved		LABH1, FLJ36128	NM_032604	ENSG00000143994
ABHD2	Approved		LABH2		ENSG00000140526
ABHD3	Approved		LABH3		ENSG00000158201
ABHD4	Approved		FLJ12816		ENSG00000100439
ABHD5	Approved		CGI-58, NCIE2	NM_016006	ENSG00000011198
ABHD6	Approved			NM_020676	ENSG00000163686
ABHD8	Approved		FLJ11743, MGC14280, MGC2512	NM_024527	ENSG00000127220
ABHD10	Approved		FLJ11342	NM_018394	ENSG00000144827
ABHD11	Approved	WBSCR21	PP1226		ENSG00000106077
ABHD11-AS1	Approved	WBSCR26, LINC00035	NCRNA00035	NR_026690	ENSG00000225969
ABHD11-AS2	Entry Withdrawn				
ABHD12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	NM_015600	ENSG00000100997
ABHD12B	Approved	C14orf29	BEM46L3		ENSG00000131969
ABHD13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	NM_032859	ENSG00000139826
ABHD14A	Approved		DKFZP564O243, DORZ1	NM_015407	ENSG00000248487
ABHD14A-ACY1	Approved				ENSG00000114786
ABHD14B	Approved		MGC15429, CIB	NM_032750	ENSG00000114779
ABHD15	Approved			NM_198147	ENSG00000168792
ABHD15-AS1	Approved		linc-TP53I13, lnc-TP53I13		ENSG00000264031
ABHD16A	Approved	BAT5	NG26, D6S82E		ENSG00000204427
ABHD16B	Approved	C20orf135	dJ591C20.1		ENSG00000183260
ABHD17A	Approved	C19orf27, FAM108A1	MGC5244	NM_031213	ENSG00000129968
ABHD17AP1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	NG_011738	ENSG00000198658
ABHD17AP2	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P			
ABHD17AP3	Approved	FAM108A4, FAM108A4P		XR_041784	ENSG00000250536
ABHD17AP4	Approved	FAM108A5, FAM108A5P			ENSG00000229107
ABHD17AP5	Approved	FAM108A6, FAM108A6P			ENSG00000263366
ABHD17AP6	Approved	FAM108A7P			ENSG00000226981
ABHD17AP7	Approved	FAM108A8P			ENSG00000260864
ABHD17AP8	Approved	FAM108A9P			ENSG00000260540
ABHD17AP9	Approved	FAM108A10P			ENSG00000261536
ABHD17B	Approved	C9orf77, FAM108B1	CGI-67	NM_016014	ENSG00000107362
ABHD17C	Approved	FAM108C1		NM_021214	ENSG00000136379
ABHD18	Approved	C4orf29	FLJ21106	NM_001039717	ENSG00000164074
ABI1	Approved	SSH3BP1	E3B1, ABI-1	NM_005470	ENSG00000136754
ABI1P1	Approved	SSH3BP1P, ABI1P		NG_002531	ENSG00000271484
ABI2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	NM_005759	ENSG00000138443
ABI3	Approved		NESH, SSH3BP3	NM_016428	ENSG00000108798
ABI3BP	Approved		NESHBP, DKFZP586L2024, TARSH		ENSG00000154175
ABITRAM	Approved	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	NM_017832	ENSG00000119328
ABITRAMP1	Approved	FAM206BP		NG_011392	ENSG00000251106
ABL1	Approved	ABL	JTK7, c-ABL, p150	NM_007313	ENSG00000097007
ABL2	Approved	ABLL	ARG	NM_005158	ENSG00000143322
ABLIM1	Approved	LIMAB1, ABLIM	abLIM, limatin		ENSG00000099204
ABLIM2	Approved		KIAA1808	NM_001130083	ENSG00000163995
ABLIM3	Approved		KIAA0843	NM_014945	ENSG00000173210
