Ensembl ID(supplied by Ensembl),region,gene
ENSG00000128567,glomerulus,PODXL
ENSG00000158457,glomerulus,TSPAN33
ENSG00000113578,glomerulus,FGF1
ENSG00000116218,glomerulus,NPHS2
ENSG00000198743,glomerulus,SLC5A3
ENSG00000144407,glomerulus,PTH2R
ENSG00000121236,glomerulus,TRIM6
ENSG00000161270,glomerulus,NPHS1
ENSG00000151490,glomerulus,PTPRO
ENSG00000145832,glomerulus,SLC25A48
ENSG00000148204,glomerulus,CRB2
ENSG00000136872,proximal tubule,ALDOB
ENSG00000171766,proximal tubule,GATM
ENSG00000162366,proximal tubule,PDZK1IP1
ENSG00000130707,proximal tubule,ASS1
ENSG00000100253,proximal tubule,MIOX
ENSG00000171759,proximal tubule,PAH
ENSG00000145692,proximal tubule,BHMT
ENSG00000144035,proximal tubule,NAT8
ENSG00000124253,proximal tubule,PCK1
ENSG00000244067,proximal tubule,GSTA2
ENSG00000174827,proximal tubule,PDZK1
ENSG00000243989,proximal tubule,ACY1
ENSG00000132840,proximal tubule,BHMT2
ENSG00000124299,proximal tubule,PEPD
ENSG00000138079,proximal tubule,SLC3A1
ENSG00000158104,proximal tubule,HPD
ENSG00000158296,proximal tubule,SLC13A3
ENSG00000113889,proximal tubule,KNG1
ENSG00000149452,proximal tubule,SLC22A8
ENSG00000149124,proximal tubule,GLYAT
ENSG00000182919,proximal tubule,C11orf54
ENSG00000129151,proximal tubule,BBOX1
ENSG00000015413,proximal tubule,DPEP1
ENSG00000164237,proximal tubule,CMBL
ENSG00000166840,proximal tubule,GLYATL1
ENSG00000132437,proximal tubule,DDC
ENSG00000138030,proximal tubule,KHK
ENSG00000155465,proximal tubule,SLC7A7
ENSG00000010932,proximal tubule,FMO1
ENSG00000176974,proximal tubule,SHMT1
ENSG00000157326,proximal tubule,DHRS4
ENSG00000147647,proximal tubule,DPYS
ENSG00000108187,proximal tubule,PBLD
ENSG00000131183,proximal tubule,SLC34A1
ENSG00000100889,proximal tubule,PCK2
ENSG00000162391,proximal tubule,FAM151A
ENSG00000092068,proximal tubule,SLC7A8
ENSG00000160282,proximal tubule,FTCD
ENSG00000122121,proximal tubule,XPNPEP2
ENSG00000116771,proximal tubule,AGMAT
ENSG00000132837,proximal tubule,DMGDH
ENSG00000162433,proximal tubule,AK4
ENSG00000100031,proximal tubule,GGT1
ENSG00000133116,proximal tubule,KL
ENSG00000107611,proximal tubule,CUBN
ENSG00000113790,proximal tubule,EHHADH
ENSG00000113492,proximal tubule,AGXT2
ENSG00000086991,proximal tubule,NOX4
ENSG00000204444,proximal tubule,APOM
ENSG00000168679,proximal tubule,SLC16A4
ENSG00000197891,proximal tubule,SLC22A12
ENSG00000103485,proximal tubule,QPRT
ENSG00000165449,proximal tubule,SLC16A9
ENSG00000080493,proximal tubule,SLC4A4
ENSG00000140263,proximal tubule,SORD
ENSG00000160202,proximal tubule,CRYAA
ENSG00000124564,proximal tubule,SLC17A3
ENSG00000164325,proximal tubule,TMEM174
ENSG00000174358,proximal tubule,SLC6A19
ENSG00000140284,proximal tubule,SLC27A2
ENSG00000153086,proximal tubule,ACMSD
ENSG00000081479,proximal tubule,LRP2
ENSG00000081800,proximal tubule,SLC13A1
ENSG00000118514,proximal tubule,ALDH8A1
ENSG00000186335,proximal tubule,SLC36A2
ENSG00000152779,proximal tubule,SLC16A12
ENSG00000110887,proximal tubule,DAO
ENSG00000130988,proximal tubule,RGN
ENSG00000021488,proximal tubule,SLC7A9
ENSG00000156398,proximal tubule,SFXN2
ENSG00000140675,proximal tubule,SLC5A2
ENSG00000154025,proximal tubule,SLC5A10
ENSG00000132744,proximal tubule,ACY3
ENSG00000137204,proximal tubule,SLC22A7
ENSG00000016391,proximal tubule,CHDH
ENSG00000168065,proximal tubule,SLC22A11
ENSG00000109667,proximal tubule,SLC2A9
ENSG00000186115,proximal tubule,CYP4F2
ENSG00000170482,proximal tubule,SLC23A1
ENSG00000056736,proximal tubule,IL17RB
ENSG00000007216,proximal tubule,SLC13A2
ENSG00000186868,proximal tubule,MAPT
ENSG00000137819,proximal tubule,PAQR5
ENSG00000145626,proximal tubule,UGT3A1
ENSG00000075891,proximal tubule,PAX2
ENSG00000108381,proximal tubule,ASPA
ENSG00000156222,proximal tubule,SLC28A1
ENSG00000143627,proximal tubule,PKLR
ENSG00000142661,proximal tubule,MYOM3
ENSG00000204653,proximal tubule,ASPDH
ENSG00000117009,proximal tubule,KMO
ENSG00000143839,proximal tubule,REN
ENSG00000164303,proximal tubule,ENPP6
ENSG00000111181,proximal tubule,SLC6A12
ENSG00000187867,proximal tubule,PALM3
ENSG00000113361,proximal tubule,CDH6
ENSG00000198569,proximal tubule,SLC34A3
ENSG00000023839,proximal tubule,ABCC2
ENSG00000125255,proximal tubule,SLC10A2
ENSG00000172940,proximal tubule,SLC22A13
ENSG00000144214,proximal tubule,LYG1
ENSG00000164363,proximal tubule,SLC6A18
ENSG00000138587,proximal tubule,MNS1
ENSG00000198691,proximal tubule,ABCA4
ENSG00000062096,proximal tubule,ARSF
ENSG00000158865,proximal tubule,SLC5A11
ENSG00000185519,proximal tubule,FAM131C
