,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000238009,0.04785223,0.07251627,0.19858935,0.048387785,0.097974144,0.090437286,0.096021086,0.05411101,0.037071645,0.05584309,0.083554715,0.04362171,0.07401963
ENSG00000239906,0.16884656,0.019048188,0.019048188,0.019048188,0.14522657,0.087979555,0.11666583,0.019048188,0.019048188,0.019048188,0.019048188,0.019048188,0.32889605
ENSG00000237491,0.076108254,0.045495123,0.082540154,0.08611229,0.08892063,0.062297773,0.09375216,0.11825728,0.052518085,0.070676245,0.06421144,0.051713593,0.10739694
ENSG00000177757,0.090162165,0.015109635,0.015109635,0.3477171,0.20087004,0.06525203,0.015109635,0.015109635,0.015109635,0.015109635,0.015109635,0.015109635,0.17512149
ENSG00000225880,0.034904987,0.00044130933,0.1476495,0.069808,0.10407431,0.11878651,0.106386185,0.00044130933,0.085940294,0.0683021,0.0882655,0.11850041,0.05649962
ENSG00000230368,0.02065458,0.0075399033,0.0075399033,0.0075399033,0.18847072,0.1109882,0.21363302,0.0075399033,0.0075399033,0.24962823,0.081593394,0.0075399033,0.089792386
ENSG00000272438,0.008513963,0.15146835,0.06312408,0.077710606,0.2629843,0.022525763,0.010278501,0.0013665181,0.10474026,0.07367471,0.017024972,0.0013665181,0.20522147
ENSG00000223764,0.0053295027,0.15495104,0.04337641,0.03336404,0.1487841,0.0047993655,0.0091510285,0.00033050778,0.21939084,0.0669605,0.012607208,0.02932809,0.27162746
ENSG00000187634,0.009382305,0.1280121,0.18007576,0.034504257,0.18096535,0.0096295085,0.0100620575,0.03888046,0.049526162,0.09475678,0.013565343,0.005988086,0.2446518
ENSG00000188976,0.09884352,0.04809775,0.08007957,0.06389079,0.075236365,0.068777405,0.073849574,0.08114186,0.07205316,0.083244815,0.08910727,0.07267759,0.093000256
ENSG00000187961,0.137939,0.025412297,0.010877574,0.046785172,0.060219537,0.09381353,0.06545272,0.20133655,0.03891961,0.12344346,0.07067731,0.047009382,0.07811373
ENSG00000187583,0.03560446,0.00498525,0.00498525,0.05959343,0.0361168,0.040949136,0.11455321,0.00498525,0.00498525,0.58367383,0.09959775,0.00498525,0.00498525
ENSG00000187642,0.004159887,0.21486196,0.004159887,0.004159887,0.07732745,0.5209569,0.057429288,0.004159887,0.004159887,0.004159887,0.004159887,0.004159887,0.096145436
ENSG00000272512,0.00056135375,0.00056135375,0.00056135375,0.0448005,0.2382092,0.0131231835,0.052482314,0.00056135375,0.35502744,0.10673079,0.009538027,0.00056135375,0.17728174
ENSG00000188290,0.009130602,0.03455134,0.03156152,0.06472284,0.09956262,0.012780268,0.048020333,0.00024345606,0.47783652,0.097362556,0.021708,0.00024345606,0.10227651
ENSG00000187608,0.007936932,0.048671223,0.07477113,0.022655373,0.123971045,0.026010852,0.055972584,0.15393135,0.080458365,0.10654875,0.062488224,0.010286553,0.22629769
ENSG00000188157,0.04030191,0.016622137,0.14469975,0.025629167,0.09222022,0.085986346,0.072115004,0.0389412,0.06455944,0.18656996,0.05448451,0.05631166,0.121558726
ENSG00000131591,0.07141595,0.107928626,0.06816819,0.07525156,0.080888495,0.07668421,0.095302135,0.01197194,0.08926751,0.09401048,0.092299104,0.04246667,0.094345115
ENSG00000223823,0.123604774,0.07256454,0.023993667,0.025582302,0.23294835,0.058999125,0.07698567,0.00078742905,0.00078742905,0.08889456,0.054902337,0.053886358,0.18606351
ENSG00000272141,0.036865033,0.015819296,0.01014198,0.018197138,0.14408456,0.11192587,0.17446652,0.0001300056,0.0001300056,0.03530213,0.10839807,0.19239572,0.15214375
ENSG00000162571,0.0074995332,0.00075796666,0.00075796666,0.046760954,0.14955302,0.09618123,0.15947546,0.00075796666,0.00075796666,0.014793573,0.13304874,0.20864256,0.18101303
ENSG00000186827,0.0018946085,0.10031463,0.0018946085,0.18484294,0.0018946085,0.0018946085,0.012275199,0.5321547,0.09691796,0.038036715,0.024090193,0.0018946085,0.0018946085
ENSG00000078808,0.09911299,0.046925828,0.05418052,0.0745341,0.06595083,0.07100942,0.070023276,0.095182285,0.059180565,0.11590051,0.08959267,0.08838126,0.070025824
ENSG00000176022,0.14201106,0.0011976181,0.062488627,0.13889758,0.009074638,0.03252284,0.033241317,0.2050508,0.09700332,0.029685395,0.07987641,0.12062373,0.048326734
ENSG00000184163,0.5535089,0.10990346,0.06801952,0.03550111,0.033760455,0.040113293,0.0217741,0.00062802795,0.00062802795,0.022530606,0.045412235,0.00062802795,0.06759223
ENSG00000260179,0.25028065,0.00874476,0.00874476,0.17661361,0.083756484,0.08866026,0.18633541,0.00874476,0.00874476,0.00874476,0.15314016,0.00874476,0.00874476
ENSG00000160087,0.07805142,0.05542744,0.066910945,0.07855495,0.068313874,0.06198359,0.07065305,0.10457747,0.052040003,0.10466455,0.09565908,0.07947479,0.0836889
ENSG00000230415,0.16762945,0.11220006,0.046554014,0.05062266,0.07457028,0.10234204,0.0843875,0.17704594,0.0005796718,0.107693195,0.017658258,0.0005796718,0.05813722
ENSG00000162572,0.26547852,0.08977351,0.0825995,0.059219863,0.030912032,0.06771327,0.044699002,0.16950169,0.061214462,0.07042549,0.021998921,0.016768914,0.019694904
ENSG00000131584,0.18088919,0.15113638,0.09297876,0.062542535,0.049059357,0.06737382,0.06600319,0.016923241,0.05077666,0.06472813,0.07700605,0.058281876,0.06230079
ENSG00000169972,0.12053285,0.0020718812,0.0020718812,0.14123036,0.114043035,0.12457655,0.11361291,0.0020718812,0.0020718812,0.24165435,0.062992714,0.0020718812,0.07099775
ENSG00000127054,0.061212894,0.13931875,0.084435895,0.052768,0.07051735,0.07914941,0.07390085,0.03557639,0.100622155,0.12103139,0.057337772,0.05940391,0.064725175
ENSG00000224051,0.080417424,0.000654732,0.03929633,0.05595754,0.09156987,0.12769356,0.102075346,0.000654732,0.037675086,0.019092456,0.12411641,0.2512199,0.069576636
ENSG00000169962,0.09629273,0.013986482,0.39357823,0.013986482,0.013986482,0.1938722,0.053544123,0.013986482,0.013986482,0.013986482,0.15082072,0.013986482,0.013986482
ENSG00000107404,0.06087531,0.16705783,0.045836367,0.039737657,0.060371403,0.05782815,0.048446,0.086355016,0.11779393,0.055363614,0.14042664,0.070372015,0.04953615
ENSG00000162576,0.010974866,0.24715269,0.4796535,0.0033424424,0.002241228,0.0047331178,0.006445386,0.0001047871,0.06909187,0.14797147,0.0043713176,0.01851651,0.0054008965
ENSG00000175756,0.16317642,0.00023041996,0.041961785,0.04350564,0.06270896,0.11359178,0.09921244,0.057978597,0.08491019,0.04871081,0.13020582,0.11346639,0.040340725
ENSG00000221978,0.09671876,0.12282892,0.06280001,0.106483564,0.069308035,0.062001035,0.052355118,0.053736314,0.081289686,0.10168615,0.06499013,0.051756535,0.07404568
ENSG00000242485,0.070918955,0.050514374,0.0728918,0.084091514,0.08460853,0.07344581,0.08040447,0.11139925,0.06828685,0.062519364,0.08540187,0.07587586,0.07964126
ENSG00000272455,0.0422206,0.00092946744,0.20023064,0.024906859,0.08145701,0.076260835,0.09965486,0.23183373,0.04398957,0.022795318,0.09356183,0.030584143,0.05157511
ENSG00000235098,0.005661667,0.0013099933,0.76283234,0.0013099933,0.0013099933,0.0013099933,0.014471005,0.0013099933,0.0013099933,0.20524506,0.0013099933,0.0013099933,0.0013099933
ENSG00000225905,0.033822678,0.033822678,0.033822678,0.033822678,0.23058023,0.15618876,0.27500433,0.033822678,0.033822678,0.033822678,0.033822678,0.033822678,0.033822678
ENSG00000225285,0.024017662,0.0027287747,0.28427345,0.16367972,0.051408425,0.0027287747,0.03454669,0.0027287747,0.0027287747,0.31212577,0.039975956,0.0027287747,0.07632859
ENSG00000179403,0.028936176,0.0007739152,0.151427,0.29570517,0.01989499,0.04124842,0.03549854,0.0007739152,0.21163376,0.10501614,0.041873306,0.0007739152,0.06644469
ENSG00000215915,0.03578338,0.00058162294,0.17910132,0.08342196,0.117340356,0.080154136,0.087616295,0.00058162294,0.00058162294,0.08041264,0.15606238,0.08744398,0.09091864
ENSG00000160072,0.078778915,0.05007355,0.045944583,0.06584186,0.07531955,0.07577004,0.074179955,0.12083467,0.06703249,0.055700876,0.114906706,0.07125293,0.10436387
ENSG00000197785,0.08776451,0.049433578,0.020835228,0.06129301,0.10287426,0.11216972,0.10880921,0.0001844244,0.008745338,0.059837706,0.12206206,0.13303217,0.13295881
ENSG00000205090,0.029501423,0.002884895,0.076139696,0.10501842,0.109641075,0.090438046,0.11180106,0.002884895,0.002884895,0.24872358,0.13221492,0.002884895,0.08498204
ENSG00000160075,0.09524359,0.055775423,0.047020737,0.08346326,0.06418375,0.066040814,0.08346441,0.112493314,0.047076512,0.06880141,0.07756119,0.11472627,0.08414937
ENSG00000215014,0.06434469,0.0024027312,0.06721129,0.04450066,0.13776898,0.09251633,0.11658397,0.0024027312,0.32536072,0.04688425,0.026404954,0.0024027312,0.071216084
ENSG00000228594,0.13787591,0.004254535,0.004254535,0.004254535,0.103229165,0.08668063,0.1145865,0.004254535,0.004254535,0.004254535,0.24305953,0.2847865,0.004254535
ENSG00000272106,0.046522018,0.075871654,0.15502544,0.074412264,0.036095515,0.08333202,0.113713235,0.0009303506,0.0009303506,0.15019427,0.0829321,0.06321909,0.11682172
ENSG00000197530,0.1567499,0.046487197,0.04015006,0.06019508,0.066720866,0.08024188,0.07550866,0.064185895,0.07533259,0.07355466,0.09849151,0.07927345,0.083108254
ENSG00000189409,0.09755593,0.3249785,0.1271751,0.027886085,0.03155585,0.040175185,0.026607402,0.002315654,0.002315654,0.119862266,0.10605575,0.002315654,0.0912009
ENSG00000248333,0.09137543,0.06293946,0.06515135,0.09622425,0.06976407,0.07307766,0.06893554,0.093027726,0.051530357,0.050088912,0.09405962,0.08235627,0.10146933
ENSG00000272004,0.071320914,0.07544088,0.06385098,0.10164476,0.09498941,0.08093878,0.09843037,0.0007336768,0.07819868,0.061125595,0.05283808,0.069381244,0.15110664
ENSG00000189339,0.08401588,0.05364976,0.056134887,0.07681128,0.07654099,0.07908132,0.07503767,0.08771724,0.06713514,0.083525,0.077996664,0.08883011,0.093523994
ENSG00000008128,0.09165134,0.11979537,0.06172286,0.093231924,0.08222613,0.08262364,0.046272736,0.08469033,0.09258617,0.043810572,0.07472704,0.04703454,0.079627365
ENSG00000215790,0.070440225,0.12731434,0.071749404,0.06474687,0.0812648,0.09219134,0.06926324,0.06630513,0.062258758,0.065605514,0.064578265,0.063571624,0.10071044
ENSG00000008130,0.07598696,0.09312052,0.027188307,0.048313037,0.07298308,0.07145657,0.07474658,0.14355986,0.06749912,0.0651474,0.08353249,0.088412866,0.08805322
ENSG00000078369,0.065109596,0.08052082,0.05704838,0.12330701,0.05972125,0.044260908,0.053811017,0.13782269,0.07477487,0.07408709,0.07538701,0.09263789,0.061511524
ENSG00000231050,0.23586853,0.010943258,0.010943258,0.010943258,0.010943258,0.28167674,0.06750504,0.010943258,0.010943258,0.31646034,0.010943258,0.010943258,0.010943258
ENSG00000169885,0.36612967,0.005430422,0.15097058,0.005430422,0.089110985,0.08462788,0.081506476,0.005430422,0.005430422,0.13318184,0.005430422,0.005430422,0.061890155
