ENSG_ID,Antibody_ID,Gene name,Gene description,Image_URL,Spermatogonia_manual annotation,Spermatogonia_Predict_Proba,Spermatogonia_model prediction,Spermatogonia_GTL Score,Spermatogonia_intensity,Spermatogonia_localization,Preleptotene spermatocytes_manual annotation,Preleptotene spermatocytes_Predict_Proba,Preleptotene spermatocytes_model prediction,Preleptotene spermatocytes_GTL Score,Preleptotene spermatocytes_intensity,Preleptotene spermatocytes_localization,Pachytene spermatocytes_manual annotation,Pachytene spermatocytes_Predict_Proba,Pachytene spermatocytes_model prediction,Pachytene spermatocytes_GTL Score,Pachytene_spermatocytes_intensity,Pachytene_spermatocytes_localization,Round/early spermatids_manual annotation,Round/early spermatids_Predict_Proba,Round/early spermatids_model prediction,Round/early spermatids_GTL Score,Round/early spermatids_intensity,Round/early spermatids_localization,Elongated/late spermatids_manual annotation,Elongated/late spermatids_Predict_Proba,Elongated/late spermatids_model prediction,Elongated/late spermatids_GTL Score,Elongated/late spermatids_intensity,Elongated/late spermatids_localization,Sertoli cells_manual annotation,Sertoli cells_Predict_Proba,Sertoli cells_model prediction,Sertoli cells_GTL Score,Sertoli cells_cells_intensity,Sertoli cells_cells_localization,Leydig cells_manual annotation,Leydig cells__Predict_Proba,Leydig cells_model prediction,Leydig cells_GTL Score,Leydig cells_intensity,Leydig cells_localization,Peritubular cells_manual annotation,Peritubular cells_Predict_Proba,Peritubular cells_model prediction,Peritubular cells_GTL Score,Peritubular cells_intensity,Peritubular cells_localization
ENSG00000000457,HPA005624,SCYL3,SCY1 like pseudokinase 3,//images.proteinatlas.org/5624/17921_A_5_6.jpg,1,1.0,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.000638589,0,1.0,0,0,0,0.044027854,0,1.0,0,0,1,1.0,1,1.0,2,Cytoplasmic,1,0.999101996,1,0.85,1,Cytoplasmic,0,1.46e-06,0,1.0,0,0,0,1.72e-06,0,0.0,0,0
ENSG00000000457,HPA005624,SCYL3,SCY1 like pseudokinase 3,//images.proteinatlas.org/5624/17921_A_6_6.jpg,1,0.999999762,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.680155873,0,1.0,0,0,0,0.42715543499999997,0,1.0,0,0,1,1.0,1,1.0,2,Cytoplasmic,1,0.955204129,1,0.83,1,Cytoplasmic,0,1.52e-07,0,1.0,0,0,0,4.77e-10,0,0.0,0,0
ENSG00000000457,HPA005624,SCYL3,SCY1 like pseudokinase 3,//images.proteinatlas.org/5624/17921_A_4_6.jpg,1,0.999999642,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.222564042,0,1.0,0,0,0,0.201533467,0,1.0,0,0,1,1.0,1,1.0,2,Cytoplasmic,1,0.993770838,1,0.8,1,Cytoplasmic,0,3.71e-05,0,1.0,0,0,0,1.74e-05,0,0.0,0,0
ENSG00000004961,HPA002946,HCCS,holocytochrome c synthase,//images.proteinatlas.org/2946/8261_A_5_6.jpg,1,1.0,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.374005735,0,1.0,0,0,0,0.057148308,0,1.0,0,0,0,2.98e-11,0,0.97,0,0,0,6.2e-07,0,1.0,0,0,0,1.6e-05,0,0.0,0,0
ENSG00000004961,HPA002946,HCCS,holocytochrome c synthase,//images.proteinatlas.org/2946/8261_A_6_6.jpg,1,0.99999851,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.717444003,0,1.0,0,0,0,0.030741505,0,1.0,0,0,0,2.54e-08,0,0.97,0,0,0,1.28e-07,0,1.0,0,0,0,3.22e-06,0,0.0,0,0
ENSG00000004961,HPA002946,HCCS,holocytochrome c synthase,//images.proteinatlas.org/2946/8261_A_4_6.jpg,1,0.999999583,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,1,1.0,1,1.0,2,Cytoplasmic,0,0.405049771,0,1.0,0,0,0,4.59e-06,0,1.0,0,0,0,1.16e-09,0,0.97,0,0,0,1.52e-07,0,1.0,0,0,0,5.5e-08,0,0.0,0,0
ENSG00000005100,HPA073875,DHX33,DEAH-box helicase 33,//images.proteinatlas.org/73875/166674_A_5_6.jpg,1,6.47e-08,0,0.0,3,Nuclear,1,0.185714886,0,0.0,3,Nuclear,0,0.999981761,1,0.0,0,0,0,1.0,1,0.0,0,0,0,0.944938302,1,0.0,0,0,1,7.24e-07,0,0.0,3,Nuclear,1,0.002596238,0,0.0,2,Nuclear,0,0.0,0,0.0,0,0
ENSG00000005100,HPA073875,DHX33,DEAH-box helicase 33,//images.proteinatlas.org/73875/166674_A_6_6.jpg,1,0.078073353,1,0.0,3,Nuclear,1,1.0,1,0.0,3,Nuclear,0,1.0,1,0.0,0,0,0,1.0,1,0.0,0,0,0,1.0,1,0.0,0,0,1,5.05e-05,0,0.0,3,Nuclear,1,0.20982036,0,0.0,2,Nuclear,0,3.16e-08,0,0.0,0,0
ENSG00000006282,HPA027144,SPATA20,spermatogenesis associated 20,//images.proteinatlas.org/27144/55931_A_6_6.jpg,0,2.63e-06,0,1.0,0,0,0,0.000299695,0,0.99,0,0,0,0.07759092,0,1.0,0,0,0,0.065202527,0,1.0,0,0,1,1.0,1,1.0,3,Cytoplasmic,0,1.39e-08,0,0.0,0,0,1,0.999999523,1,0.99,2,Cytoplasmic,0,2.98e-11,0,0.0,0,0
ENSG00000006282,HPA027144,SPATA20,spermatogenesis associated 20,//images.proteinatlas.org/27144/55931_A_4_6.jpg,0,1.92e-07,0,1.0,0,0,0,6.87e-08,0,0.99,0,0,0,0.000667443,0,1.0,0,0,0,0.326868236,0,1.0,0,0,1,1.0,1,1.0,3,Cytoplasmic,0,1.19e-10,0,0.0,0,0,1,0.999963284,1,0.99,2,Cytoplasmic,0,1.28e-07,0,0.0,0,0
ENSG00000006282,HPA031442,SPATA20,spermatogenesis associated 20,//images.proteinatlas.org/31442/65271_A_5_6.jpg,1,0.999991953,1,0.99,2,Cytoplasmic,0,0.002475171,0,0.85,0,0,0,0.171938002,0,0.99,0,0,1,1.0,1,0.99,1,Cytoplasmic,1,1.0,1,0.99,3,Cytoplasmic,0,0.0,0,0.0,0,0,0,2.33e-07,0,0.99,0,0,0,0.0,0,0.0,0,0
ENSG00000006282,HPA031442,SPATA20,spermatogenesis associated 20,//images.proteinatlas.org/31442/65271_A_6_6.jpg,1,0.99999696,1,0.99,2,Cytoplasmic,0,0.016913354,0,0.85,0,0,0,0.013000322,0,0.99,0,0,1,1.0,1,0.99,1,Cytoplasmic,1,1.0,1,0.99,3,Cytoplasmic,0,1.49e-10,0,0.0,0,0,0,1.41e-07,0,0.99,0,0,0,6.91e-09,0,0.0,0,0
ENSG00000006282,HPA031442,SPATA20,spermatogenesis associated 20,//images.proteinatlas.org/31442/65271_A_4_6.jpg,1,1.0,1,0.99,2,Cytoplasmic,0,0.305088192,0,0.85,0,0,0,0.167994097,0,0.99,0,0,1,1.0,1,0.99,1,Cytoplasmic,1,1.0,1,0.99,3,Cytoplasmic,0,0.0,0,0.0,0,0,0,3.58e-07,0,0.99,0,0,0,9.83e-10,0,0.0,0,0
ENSG00000006744,HPA019535,ELAC2,elaC ribonuclease Z 2,//images.proteinatlas.org/19535/45379_A_6_6.jpg,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,0.072827578,0,1.0,0,0,0,0.012799855,0,1.0,0,0,0,0.676894367,0,1.0,0,0,0,0.005536139,0,1.0,0,0,1,0.995898664,1,0.0,2,Nuclear,1,0.999983907,1,0.99,3,Nuclear,0,1.29e-06,0,0.0,0,0
ENSG00000006744,HPA019535,ELAC2,elaC ribonuclease Z 2,//images.proteinatlas.org/19535/45379_A_4_6.jpg,1,0.999999881,1,1.0,3,Nuclear.Cytoplasmic,0,0.026603987,0,1.0,0,0,0,0.000879235,0,1.0,0,0,0,0.004137796,0,1.0,0,0,0,0.127749234,0,1.0,0,0,1,0.998878777,1,0.0,2,Nuclear,1,0.999999225,1,0.99,3,Nuclear,0,5.96e-11,0,0.0,0,0
ENSG00000007255,HPA043043,TRAPPC6A,trafficking protein particle complex 6A,//images.proteinatlas.org/43043/99582_A_6_6.jpg,1,1.0,1,0.71,3,Nuclear,1,1.0,1,0.19,3,Nuclear,1,1.0,1,0.52,1,Nuclear,0,0.682396293,0,0.86,0,0,0,0.308497012,0,0.6,0,0,0,0.0,0,0.0,0,0,1,0.999997318,1,0.43,1,Cytoplasmic,0,2.64e-08,0,0.0,0,0
ENSG00000007255,HPA043043,TRAPPC6A,trafficking protein particle complex 6A,//images.proteinatlas.org/43043/99582_A_4_6.jpg,1,1.0,1,0.69,3,Nuclear,1,1.0,1,0.19,3,Nuclear,1,1.0,1,0.52,1,Nuclear,0,0.657606721,0,0.86,0,0,0,0.431408107,0,0.59,0,0,0,0.0,0,0.0,0,0,1,0.999981344,1,0.42,1,Cytoplasmic,0,9.83e-10,0,0.0,0,0
ENSG00000008853,HPA060938,RHOBTB2,Rho related BTB domain containing 2,//images.proteinatlas.org/60938/136426_A_5_6.jpg,0,1.0,1,0.0,0,0,0,0.996467531,1,0.01,0,0,1,0.000290458,0,0.08,3,Cytoplasmic,1,0.997597218,1,0.29,3,Cytoplasmic,1,0.999999821,1,0.07,3,Cytoplasmic,0,7.42e-09,0,0.0,0,0,0,0.996812582,1,0.0,0,0,0,6.5e-05,0,0.0,0,0
ENSG00000008853,HPA060938,RHOBTB2,Rho related BTB domain containing 2,//images.proteinatlas.org/60938/136426_A_6_6.jpg,0,0.999999464,1,0.0,0,0,0,0.999390125,1,0.01,0,0,1,0.970726788,1,0.08,3,Cytoplasmic,1,0.999684989,1,0.29,3,Cytoplasmic,1,0.999941945,1,0.07,3,Cytoplasmic,0,0.138570011,0,0.0,0,0,0,1.0,1,0.0,0,0,0,0.000745172,0,0.0,0,0
ENSG00000008853,HPA060938,RHOBTB2,Rho related BTB domain containing 2,//images.proteinatlas.org/60938/136426_A_4_6.jpg,0,0.999902487,1,0.0,0,0,0,1.0,1,0.01,0,0,1,1.0,1,0.07,3,Cytoplasmic,1,0.978201985,1,0.29,3,Cytoplasmic,1,3.18e-07,0,0.0,3,Cytoplasmic,0,0.000100031,0,0.0,0,0,0,1.0,1,0.0,0,0,0,4.7e-06,0,0.0,0,0
ENSG00000008869,HPA042025,HEATR5B,HEAT repeat containing 5B,//images.proteinatlas.org/42025/91898_A_6_6.jpg,0,1.52e-08,0,0.84,0,0,0,0.000434209,0,0.22,0,0,1,1.0,1,0.59,2,Cytoplasmic,1,1.0,1,0.9,2,Cytoplasmic,1,1.0,1,0.79,2,Cytoplasmic,0,2.06e-09,0,0.0,0,0,1,0.999997973,1,0.68,2,Nuclear,0,1.31e-07,0,0.0,0,0
ENSG00000008869,HPA042025,HEATR5B,HEAT repeat containing 5B,//images.proteinatlas.org/42025/91898_A_4_6.jpg,0,4.09e-07,0,0.83,0,0,0,0.062869407,0,0.22,0,0,1,1.0,1,0.58,2,Cytoplasmic,1,1.0,1,0.9,2,Cytoplasmic,1,1.0,1,0.79,2,Cytoplasmic,0,0.0,0,0.0,0,0,1,0.999997854,1,0.67,2,Nuclear,0,5.1e-07,0,0.0,0,0
ENSG00000011143,HPA021372,MKS1,"Meckel syndrome, type 1",//images.proteinatlas.org/21372/51348_A_4_6.jpg,1,1.0,1,1.0,2,Cytoplasmic,0,0.730873883,0,1.0,0,0,0,0.8374933,0,1.0,0,0,1,1.0,1,1.0,3,Nuclear,1,1.0,1,1.0,3,Nuclear,1,0.893604875,1,0.0,1,Cytoplasmic,1,1.0,1,0.99,1,Cytoplasmic,0,1.02e-05,0,0.0,0,0
ENSG00000011332,HPA049148,DPF1,double PHD fingers 1,//images.proteinatlas.org/49148/112966_A_4_6.jpg,0,5.73e-05,0,0.01,0,0,0,0.029414037,0,0.07,0,0,1,1.0,1,0.27,3,Cytoplasmic,1,1.0,1,0.64,3,Cytoplasmic,0,0.33299768,0,0.25,0,0,0,0.0,0,0.0,0,0,0,3.05e-06,0,0.0,0,0,0,3.91e-07,0,0.0,0,0
ENSG00000011590,HPA076730,ZBTB32,zinc finger and BTB domain containing 32,//images.proteinatlas.org/76730/164818_A_6_6.jpg,0,0.978882611,1,0.0,0,0,0,0.021672875,0,0.0,0,0,0,0.860153913,0,0.0,0,0,1,0.716442585,0,0.0,3,Cytoplasmic.Membranous,1,0.999969542,1,0.0,3,Cytoplasmic.Membranous,0,2.27e-06,0,0.0,0,0,0,0.999768794,1,0.0,0,0,0,9.21e-09,0,0.0,0,0
ENSG00000022267,HPA001040,FHL1,four and a half LIM domains 1,//images.proteinatlas.org/1040/2304_A_5_6.jpg,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,0.193182066,0,1.0,0,0,0,0.344457477,0,1.0,0,0,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,1.53e-07,0,0.98,0,0,0,1.29e-05,0,1.0,0,0,0,4.33e-07,0,0.0,0,0
ENSG00000022267,HPA001040,FHL1,four and a half LIM domains 1,//images.proteinatlas.org/1040/2304_A_6_6.jpg,1,0.999999344,1,1.0,3,Nuclear.Cytoplasmic,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,0.060717851,0,1.0,0,0,0,0.528397322,0,1.0,0,0,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,1.48e-08,0,0.98,0,0,0,1.87e-06,0,1.0,0,0,0,2.95e-07,0,0.0,0,0
ENSG00000022267,HPA001040,FHL1,four and a half LIM domains 1,//images.proteinatlas.org/1040/2304_A_4_6.jpg,1,0.999998868,1,1.0,3,Nuclear.Cytoplasmic,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,0.080943242,0,1.0,0,0,0,0.143378437,0,1.0,0,0,1,1.0,1,1.0,3,Nuclear.Cytoplasmic,0,0.0,0,0.98,0,0,0,1.47e-07,0,1.0,0,0,0,1.85e-08,0,0.0,0,0
ENSG00000023445,HPA002317,BIRC3,baculoviral IAP repeat containing 3,//images.proteinatlas.org/2317/8573_A_5_6.jpg,1,1.0,1,1.0,3,Nuclear,1,1.0,1,1.0,3,Nuclear,0,0.642656803,0,1.0,0,0,0,0.740891457,0,1.0,0,0,0,0.847732604,0,1.0,0,0,0,6.35e-09,0,0.98,0,0,1,1.0,1,1.0,1,Cytoplasmic,0,8.05e-07,0,0.0,0,0
ENSG00000023445,HPA002317,BIRC3,baculoviral IAP repeat containing 3,//images.proteinatlas.org/2317/8573_A_6_6.jpg,1,1.0,1,1.0,3,Nuclear,1,1.0,1,1.0,3,Nuclear,0,0.083273828,0,1.0,0,0,0,0.430462897,0,1.0,0,0,0,0.792971432,0,1.0,0,0,0,0.0,0,0.97,0,0,1,0.999992073,1,1.0,1,Cytoplasmic,0,8.14e-07,0,0.0,0,0
ENSG00000023445,HPA002317,BIRC3,baculoviral IAP repeat containing 3,//images.proteinatlas.org/2317/8573_A_4_6.jpg,1,1.0,1,1.0,3,Nuclear,1,1.0,1,1.0,3,Nuclear,0,0.472720325,0,1.0,0,0,0,0.920542657,1,1.0,0,0,0,0.246245354,0,1.0,0,0,0,5.3e-09,0,0.97,0,0,1,0.999980032,1,1.0,1,Cytoplasmic,0,2.98e-10,0,0.0,0,0
ENSG00000033178,HPA037001,UBA6,ubiquitin like modifier activating enzyme 6,//images.proteinatlas.org/37001/76881_A_6_6.jpg,0,6.96e-06,0,0.99,0,0,0,0.038856968,0,0.46,0,0,0,0.257735521,0,0.87,0,0,0,0.888455808,0,0.99,0,0,1,1.0,1,0.99,3,Cytoplasmic,0,1.64e-09,0,0.0,0,0,0,4.27e-06,0,0.97,0,0,0,2.43e-08,0,0.0,0,0
ENSG00000033178,HPA037001,UBA6,ubiquitin like modifier activating enzyme 6,//images.proteinatlas.org/37001/76881_A_4_6.jpg,0,2.64e-08,0,0.99,0,0,0,0.000230016,0,0.46,0,0,0,0.003437856,0,0.87,0,0,0,0.065075994,0,0.99,0,0,1,1.0,1,0.99,3,Cytoplasmic,0,8.94e-11,0,0.0,0,0,0,4.77e-10,0,0.97,0,0,0,0.0,0,0.0,0,0
